X,Y
-1.044854317585224290e+00,-6.795815332389804064e-01
-1.048868845972901420e+00,-6.739468556948762235e-01
-1.048788098740320196e+00,-6.772547569527017641e-01
-1.046435398640006120e+00,-6.813903448542028007e-01
-1.047747437020203787e+00,-6.790473804391088386e-01
-1.050929354995125298e+00,-6.748466530844930977e-01
-1.054058991240308440e+00,-6.750629416965585605e-01
-1.051055211541979117e+00,-6.789865649764850186e-01
-1.051533667719513954e+00,-6.793744704131772227e-01
-1.048162579506095149e+00,-6.782070583553756471e-01
-1.046182037082944660e+00,-6.781009478423720704e-01
-1.049810084767484053e+00,-6.799071616833440856e-01
-1.049613002354647939e+00,-6.854777954120307992e-01
-1.046979265510530777e+00,-6.832447909369030459e-01
-1.044043689303003619e+00,-6.890599497674172458e-01
-1.039952478896621013e+00,-6.835580376739793795e-01
-1.038560713695545923e+00,-6.820341018281678158e-01
-1.041240079241628091e+00,-6.764338693322302642e-01
-1.040575752292051792e+00,-6.788632943489268934e-01
-1.036056551793960834e+00,-6.902014587227816023e-01
-1.037821405954010734e+00,-6.864670749001846595e-01
-1.041017227324568140e+00,-6.862950425131930654e-01
-1.040456934125945088e+00,-6.852694746771021972e-01
-1.041249835277730185e+00,-6.868691105526566476e-01
-1.041652044928998322e+00,-6.863083284544455598e-01
-1.043888257473248427e+00,-6.738639985172372171e-01
-1.042758122832529111e+00,-6.689713736849176584e-01
-1.037118682431917405e+00,-6.712075933550143425e-01
-1.038766253787187122e+00,-6.762911497988590703e-01
-1.038618450640814483e+00,-6.712091594066462719e-01
-1.041882134353113942e+00,-6.678583761332865798e-01
-1.040632311806193755e+00,-6.692050128480782067e-01
-1.039577410670817770e+00,-6.641343729801036933e-01
-1.039765881296156325e+00,-6.636231101384217901e-01
-1.040861320506281995e+00,-6.674734947391093298e-01
-1.040346691686830027e+00,-6.662453363954949914e-01
-1.039841413572474060e+00,-6.613496535136732524e-01
-1.037360431971356522e+00,-6.598646678850950131e-01
-1.038835072868896869e+00,-6.644124809426960043e-01
-1.040232062174834216e+00,-6.640125681725392859e-01
-1.039386049816922952e+00,-6.609470049184861251e-01
-1.036878540170367735e+00,-6.645720107567051338e-01
-1.038649511926835967e+00,-6.679173430215177287e-01
-1.040090561570542249e+00,-6.700855093851377786e-01
-1.039131861170394799e+00,-6.691435122425705151e-01
-1.043657233928333428e+00,-6.897582077814562451e-01
-1.044204722674714425e+00,-6.871544558507023392e-01
-1.045474277360737059e+00,-6.824171001865760866e-01
-1.045242279912054872e+00,-6.781741605590712041e-01
-1.041217012407134268e+00,-6.747304560348241775e-01
-1.046597835489735173e+00,-6.788277900153043554e-01
-1.045036469113652888e+00,-6.723569696869844403e-01
-1.047005369139978104e+00,-6.802121327644038429e-01
-1.053137095585846339e+00,-6.856923390250594386e-01
-1.050316685706895070e+00,-6.826718006717918952e-01
-1.053547073285478142e+00,-6.879758177312221834e-01
-1.053810526591146601e+00,-6.918532628794892281e-01
-1.044076413908077816e+00,-6.898126879615755769e-01
-1.049047834899171416e+00,-6.908100278097297764e-01
-1.055107520506760155e+00,-6.860701029500063663e-01
-1.053797273011850777e+00,-6.805022644345610772e-01
-1.051476427045985096e+00,-6.797566674088616478e-01
-1.051949462312403494e+00,-6.799879826252172021e-01
-1.053980991658113542e+00,-6.813558002889282816e-01
-1.051880620266164801e+00,-6.642624969179498073e-01
-1.052669175300885218e+00,-6.653014337609477469e-01
-1.057352496677154141e+00,-6.836981322888817658e-01
-1.054507565495526933e+00,-6.832819295708896234e-01
-1.053164302419118625e+00,-6.833873042921463359e-01
-1.049405215687475357e+00,-6.817566667057007868e-01
-1.047825056669798638e+00,-6.841514976728305664e-01
-1.053410328291314979e+00,-6.917404880372788334e-01
-1.053967540740148312e+00,-6.914964552112794482e-01
-1.055890549848698123e+00,-6.933085642044083396e-01
-1.047114294766950948e+00,-6.893040695995666933e-01
-1.046227878802368672e+00,-6.907621073580118010e-01
-1.048888849046139438e+00,-6.917700389561949326e-01
-1.052524454381670083e+00,-6.948263788651354300e-01
-1.048944048475536128e+00,-6.925765598265952727e-01
-1.057007457125564764e+00,-6.988014721246313954e-01
-1.057043735616336466e+00,-6.981829523075832045e-01
-1.056041104134695319e+00,-6.978600736827342832e-01
-1.061505743677861435e+00,-7.014978606069246503e-01
-1.061489697321194470e+00,-7.064525818557376713e-01
-1.059858416905023804e+00,-7.016016697226233889e-01
-1.062546896332827506e+00,-7.056359984330551338e-01
-1.061605341545682979e+00,-7.077391079817455521e-01
-1.059196551061702518e+00,-7.060498442724981727e-01
-1.058381111025710641e+00,-7.068580438078070349e-01
-1.062704102195650480e+00,-7.092655760697701428e-01
-1.054064207056144342e+00,-7.038632884536367706e-01
-1.059119730209755250e+00,-7.056931638107650784e-01
-1.059440021244953956e+00,-7.077495932729891415e-01
-1.353176214164586444e-03,-1.961165416691240448e+00
1.792854174314462146e-03,-1.970817983589604472e+00
-2.089126171710642410e-03,-1.966171945442512836e+00
-7.067856190966392838e-03,-1.961442924856274583e+00
-7.615633510611508061e-03,-1.961196975915264096e+00
-6.315659105395332595e-03,-1.960008976299736805e+00
-1.298798543290152763e-02,-1.966645535974530956e+00
-6.290892451710938804e-03,-1.958518574984305705e+00
